GeneName	ALA_eye_FPKM	ALA_vno_FPKM	ALA_tailA2_FPKM	ALAjuv_tailA2_FPKM	ALAjuv_tailB5_FPKM	ALAjuv_body_FPKM	ATEN_tailA2_FPKM	ATEN_tailB5_FPKM	ATEN_body_FPKM	NSC_vno_FPKM	BRH_vno_FPKM	HMAJ_heart_FPKM	HMAJ_testis_FPKM
ASMT	0	0	0	0	0	0	0	0	0	0	0	0	0.16
CALM	978.08	663.79	426.88	965.16	911.75	1141.59	749.72	1112.76	860.73	719.52	675.3	414.13	1277.33
Jag1	0	0	7.48	8.18	11.01	10.47	0	2.26	0	0	0	0	26.44
L345_11303	0	0	0	0	0	0	0	0	0	0	0	0	0
Extl2	15.27	0.3	1.4	0.16	0.2	0.66	1.66	0.9	0.58	1.53	4.51	0.65	3.61
RORA	7.37	2.14	1.72	30.75	11.69	19.93	3.53	1.22	5.39	3.16	0	2.28	0.37
jag1b	0	0	12.56	27.32	0	7.16	4.38	11.71	0	0	0	0	68.54
jag1a	0	0	0.73	9.86	0	6.49	0	1.5	0	0	0	0	0
PPP5C	16.12	2.15	5.53	16.55	12.03	18.17	18.6	25.78	36.81	35.45	6.69	14.63	20.58
aidB	0.24	0.49	3.51	5.05	0	5.04	0	0	0.91	0	15.19	0.42	3.39
MTMR3	33.27	3.78	15.13	47.23	21.28	44	14.58	21.77	38.81	25.44	47.67	13.34	39.07
L345_11306	0	0	0	0	0	0	0	0	0	0	0	0	0
fastkd1	7.24	9.88	17.74	5.53	4.09	6.93	18.46	8.66	9.7	2.6	3.25	9.08	5.69
KBTBD10	65.41	121.85	18.62	29.18	1853.7	248.45	446.2	36.03	82.22	10.4	26.22	961.18	68.74
Col28a1	0.06	0	0	0	0	0	0	0	0	0	0	0	0.51
PLB1	2.3	0.34	0.22	1.03	0	1.17	0	0	0	0.68	0	0	4.2
NARG2	2.57	0.33	0.64	1	0	0	1.12	2.76	2.16	11.23	0	1.41	2.27
VMO1	0	0	0	0	0	0	0	0	0	0	0	0	0
ST7	27.64	21.84	2.67	1.36	17.14	1.93	0	2.94	0	27.28	127.12	1.6	3.61
ASZ1	26.74	25.78	1.33	0	0	0	0	1.38	0	0	0	2.64	278.27
CDK19	8.58	1.67	1.5	11.11	10.45	4.57	8.41	0.15	8.36	6.31	5.19	1.42	0.69
AMD1	242.49	19.94	125.81	120.92	82	100.5	197.65	97.88	145.06	205.82	86.52	285.44	36.82
GTF3C6	83.34	17.73	45.15	20.29	39.7	13.93	61.23	35.92	43.39	15.32	88.8	26.28	5.11
Srst	0	0	0	0	0	0	0	0	0	0	0	0	0
SHANK3	0.23	0.46	0	0.28	0	0	0	0	0	3.66	0	0.39	0
L345_11319	21.05	0	0	0	0	0	0	0	0	0	0	0	0.9
Dpysl4	185.98	10.73	0	0.16	0	0	0	0	0	0	0	0	0.18
DOK5	20.23	0.52	0	0	0	0	0	0	0	0	0	0	0.35
PRKDC	46.98	113.12	31.58	23.99	34.36	29.74	54.03	51.21	32.51	29.92	37.79	20.89	12.64
L345_11322	4.52	1.11	3.1	2.24	0	2.85	4.96	5.97	4.46	4.41	0	2.52	67.16
NLRC4	1.7	1.05	0.67	1.19	0	0.39	0	0.21	0.28	6.9	0	2.16	0.72
YIPF4	97.32	48.46	44.65	19.69	5.37	19.88	37.08	12.14	7.65	45.19	23.96	20.43	34.95
BIRC6	14.82	1.88	5	9.73	5.73	6.69	15.25	5.69	13	12.23	13.8	3.55	1.26
L345_11326	13.53	3.6	11.21	3.94	4.61	12.66	2.96	16.93	35.6	11.19	25.59	5.63	43.12
TRAK1	1.51	2.47	1.19	0.74	1.58	0	0	0.84	0	0	0	3.16	8.46
L345_11328	1.72	0	0	0	0	0	0	0	0	0	0	0	9.03
Map3k15	13.81	7.86	1.86	6.05	6.53	1.43	3.51	3.17	9.88	7.66	0	23.07	9.48
Pdha1	46.91	39.51	50.18	37.69	36.27	37.67	33.22	48.21	39.16	33.23	75.56	103.54	7.27
PFDN4	321.53	403.75	334.25	153.34	238.94	227.62	589.99	429.18	327.04	227.07	899.43	279.29	7936.12
GPR64	1.13	5.02	7.15	11.24	11.78	14.55	11.17	6.36	14.05	55.16	0	4.05	6.15
PHKA2	28.96	6.89	5.71	14.42	10.87	9.87	12.68	9.32	23.67	35.54	28.43	15.45	38.07
PPEF2	6.78	2.45	50.43	26.8	14.14	25.08	5.8	7.14	5.03	0	0	0	61.65
RS1	493.41	0	3.06	6.38	8.36	11.03	0	2.43	2.17	0	0	1.01	8.13
CDKL5	17.15	6.27	6.72	18.96	8.8	19.28	5.68	9.4	20.53	6.27	17.04	2.31	2.43
PHYHIPL	190.39	1.98	0	0	0	0	0	0	0	0	0	0	1.69
FAM13C	7.16	2.74	0.44	0	0	0	0	0	0	8.69	0	1.17	1305.61
FAM13C	4.35	0	0	0	0	0	0	0	0	7.78	0	0	0
gacY	0.24	16.2	0	3.56	0	6.69	0	0	0	64.3	0	0	21.49
SLC16A9	22.75	2.19	0.35	108.85	0	10.2	0	0	0	24.78	0	4.67	0.75
CYP24A1	44.05	11.08	7.53	106.27	94.52	112.07	2.44	5.52	3.27	19.92	37.34	1.05	6.18
ALK	5.9	0	0.54	1	0	0	0	0	0	0	0	0	0
LTK	6.96	0	0	5.72	0	0	0	0	0	0	0	0	0
OPRD1	8.53	0	0	0	0	0	0	0	0	0	0	0	0
L345_11345	1.56	0	0	0	0	0	0	0	0	0	0	0	0
Rora	30.07	1.95	31.06	105.62	41.48	74.06	6.46	32.54	36.27	49.52	0	6.23	0
Rock1	2.91	5.52	2.38	3.11	19.55	0	63.24	4.74	17.16	11.93	0	0	0
ROCK1	10.9	3.15	10.14	28.31	11.24	14.51	52.64	13.63	51.45	22.83	20.53	6.58	1.57
ADAMTS7	2.97	0	0.18	2.01	0	0	0	0	0	0.28	0	0.94	2.83
GLCE	7.2	2.02	3.8	7.33	2.2	6.63	2.6	4.61	10.94	13.13	5.02	3.43	6.16
NOX5	1.1	0	0	0	0	0	0	0	0	0	0	0	0
BCAS1	2.22	0.37	0.12	3.59	0	1.43	3.44	0.94	2.93	3.13	6.35	0.16	0
NOX5	4.54	0.58	0	1.06	0	1.25	0	0.95	2.45	0	0	0	0.8
ANP32A	131.94	95.54	46.31	62.9	154.3	80.56	351.95	103.62	186.34	115.96	414.67	108.1	38.6
L345_11355	0.09	0	0	0.22	0	0	0	0	0	0	0	0	0
CORO2B	64.77	16.55	0.26	5.6	8.9	2.07	2.7	1.67	0	13.2	0	3.44	151.35
MYO5B	5.66	1.49	1.53	7.76	7	0.77	5.52	2.2	6.37	16.01	7.42	0	3.87
CTSL1	901.36	214.4	82.54	426.61	118.67	221.56	70.76	59.28	73.89	225.54	248.41	642.29	135.63
FBP2	80.83	35.26	30.33	42.55	109.23	47.1	56.73	30.82	38.58	36.97	20.4	4.78	1.28
AOPEP	5.53	1.99	3.21	3.29	7.06	0.42	5.78	5.46	5.03	1.47	0	0	0.68
L345_11361	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM182	0	0	0	0	21.34	0	0	0	0	0	0	0	0
L345_01137	125.49	11.32	5.69	13.09	0	16.4	1.96	0	2.2	44.24	87.71	15.04	0.86
SLC9A2	26.58	0	0	0	0	0	0	0	0	0	0	0	0
L345_11362	3.42	0	1.91	7.48	0	0	0	0.34	0	1.45	0	4.43	0
SH3BGRL3	17.81	4.07	0	2.09	0	0	5.26	7.95	0	0	0	3.5	1120.52
SH3BGRL	114.95	31.71	44.26	53.98	19.9	49.27	0	45.45	32.85	43.59	70.73	29.99	4.57
L345_11360	299.38	228.98	250.98	150.32	44.03	206.04	760.61	746.68	986.51	494.32	126.2	201.68	10.04
Cacna1s	0	0	0	0.14	8.37	0	0.8	0	0	0	0	0	0
RPL10A	1374.68	4638.57	5267.68	665.56	334.54	639.16	263.24	1597.75	541.71	649.65	1037.38	2031.45	954.66
Lrmp	19.8	0	0	0	0	0	0	0	0	10.5	0	0	0
MICAL3	20.07	6.55	0.1	1.95	1.21	1.71	3.64	0.92	1.14	7.8	17.27	0.26	2.71
Smpd2	19.38	36.03	33.79	10.64	15.31	10.12	23.69	28.32	28.33	6.79	17.35	5.94	1.17
L345_01138	5.59	73.53	5.73	6.31	0	0	0	1.2	11.74	2.59	0	7.58	0
UPRT	155.43	182.75	254.17	82.41	27.71	62.92	337.83	434.8	350.94	236.36	319.62	88	89.43
Zdhhc15	3.99	0	5.6	4.19	3.94	0.74	0.72	1.2	3.61	4.3	0	0	5.65
NSUN2	33.92	44.1	29.46	30.45	40.07	36.34	102.57	44.07	20.26	29.31	19.4	38.16	104.24
UBE2QL1	154.96	20.72	5.59	7.82	0	0	0	0.74	0	9.64	38.88	13.3	0
Med10	77.31	84.78	35.17	38.24	0	24.33	68.09	31.91	5.5	103.27	49.95	31.47	36.17
MAN2A2	46.26	55.78	17.66	37.24	15.21	41.9	15.62	92.86	46.72	30.67	9.3	27	43.72
FURIN	33.27	61.78	25.22	100.42	42.83	87.47	43.31	58.3	49.09	237.81	39.68	47.3	9.93
MFAP1	75.65	16.54	23.27	37.89	28.58	38.4	41.51	41.08	40.11	75.45	280.91	24.37	23.68
TAF3	3.92	0	1.12	1.95	0	0	0	0	11.78	6.42	0	2.96	1.18
L345_11380	2.32	0	0	0.45	0	0	0	0	0	0	0	2.53	0.51
L345_01139	0.54	6.63	1.42	1.32	0	0	6.38	0	0	0	0	0	0
WAPAL	21.31	3.45	16.06	53.09	27.57	55.2	28.81	18.67	40.07	62.01	13.4	5.76	22.25
Sms	139.29	4.06	31.05	5.9	9.67	9.81	193.07	31.2	85.95	36.5	24.8	12.37	1.99
MBTPS2	16.72	22.27	2.97	5.8	3.49	1.64	0	2.65	3.2	11.05	14.27	1.31	2.89
SMPX	0.7	3.4	0	0	0.42	0	0	0	0	1.28	14.46	31.23	6.26
Cr2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cr2	0.41	0	0	0	0	0	0	0	0	0	0	0	0
RGN	5.93	0.89	0.32	1.27	0	1.38	0	0.05	0.93	5.18	2.82	3.03	0.95
GTPBP6	62.68	63.88	101.16	50.68	79.6	66.34	72.06	136.72	109.12	48.57	39.01	56.5	46.59
STAG2	35.15	41.7	20.18	18.18	11.81	15.14	13.52	13.49	16.2	46.9	17.31	10.53	12.82
PPP2R3B	13.43	4.46	11.48	4.36	5.36	1.47	11.51	9.32	25.13	6.82	1.06	34.75	26.28
L345_01140	18.21	6.98	58.7	34.52	10.35	48.54	5.25	28.56	57.97	50.27	0	20.91	23.91
ANKRD24	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD24	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD24	6.56	0	0	0	0	0	0	0	0	0	0	0	0
CTSL1	1.14	0	0.78	0	0	0	0	0	0	1.15	0	1.04	0
CA10	165.99	0	0	0	0	0	0	0	0	0	0	0	2.91
ZBTB8OS	32.12	2.37	32.3	9.13	13.55	47.54	0	14.9	7.81	38.59	0	22.39	32.54
RBBP4	339.48	153.74	266.3	153.35	93.69	137.36	241.8	359.21	410.3	331.97	213.47	118.05	111.34
SYNC	9.98	11.95	11.38	4.99	23.41	6.61	15.47	10.68	6.2	8.19	6.37	77.92	8.89
GLI3	1.24	0	0.33	1.03	0	0.44	2.6	1.65	6.2	0.17	0	2.45	0.46
GLI3	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A7	4.29	7.29	7.05	13.99	11.2	10.86	23.51	7.1	10.08	23.89	8.42	0.39	32.45
FAM5C	3.28	0	0	0	0	0	0	0	0	2.08	0	26.65	0.97
L345_11403	36.66	26.39	73.73	46.11	22.32	52.23	66.76	40.43	36.5	42.89	97.32	8.75	436.59
SNRPC	123.18	309.24	114.86	125.74	88.52	182.01	279.4	423	252.15	238.58	270.48	86.93	160.85
UHRF1BP1	6.82	0	0	2.54	0	0	0	0	0	8.36	0	0	14.18
EMP1	11.93	8.03	25.65	308.22	109.37	150.8	79.21	36.74	59.23	36.85	2.81	1.48	0.12
L345_11405	0	0.63	0	0	0	0	0	0	0	0	0	0	9.02
Nme6	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_11408	0	0	0	0	0	0	0	0	0	0	0	0	0
RABL2B	0.71	0	0	0	0	0	0	0	0	0	0	0	0
Acr	0	0	0	0.06	0	0	0	0.44	0.36	0	0	0	134.01
ARSA	1.96	3.24	0	0	0	0	0	0	0	7.09	0	0	0
L345_01142	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC44A3	17.9	13.83	18.56	11.02	2.26	15.35	20.91	15.45	10.73	10.06	28.76	3.68	2.37
CNN3	305.81	126.35	20.67	56.6	13.4	15.53	74.31	44.71	37.5	214.44	188.48	66.82	18.28
RFTN1	6.29	0.56	0.72	1	0	0.47	1.83	1.27	0.51	5.47	0	0	2.28
DAZL	0	0	0	0	0	0	0	0	0	0	0	0	58.52
L345_11415	0.15	0	0	0	0	0	0	0	0	0	0	0	0.41
L345_11416	0.14	1.1	0	0	0	0	0	0	0	0	0	0.47	0
KRTAP12-2	0.28	86.28	1143.07	14764.74	8299.02	17891.23	2396.67	945.98	284.3	61.7	3.5	0.64	1.55
GRP-1	0	0	0	5914.97	2984.23	4646.94	229.87	88.48	27.47	0	0	0	0
EBNA1	0	0	0	3917.72	503.55	2634.75	0	59.84	12.13	0	0	0	0
CKER1	3.15	0	34.99	2308.09	841.48	1143.12	107.42	39.06	23.84	0	0	0	0
L345_01143	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_11421	0.96	0	0	0	0	0	0	0	0	0	0	0	0
L345_11424	20.05	33.34	17.9	7.24	13.77	11.03	19.25	33.73	37.1	23.8	18.53	27.23	8.56
PDSS1	182.67	18.85	4.97	5.94	5.55	8.4	7.14	4.13	15.03	8.48	44.96	8.4	2.05
Abi1	31.12	15.86	20.1	83.38	68.72	69.02	46.35	33.32	70.8	45.84	87.47	10.82	7.96
Palld	6.4	0	0.43	15.22	6.86	10.18	3.3	0.31	4.89	0	28.55	8.03	0
L345_11429	0	0	0	0	0	0	0	0	0	0	0	0	1246.66
Akap4	0	0.65	0	0	0	0	0	0	0	0	0	1.11	1686.4
PALLD	36.92	24.86	13.63	138.16	51.69	92.19	44.17	26.79	33.32	54.35	77.01	53.87	14.15
CBR4	63.67	181.78	29.79	11.29	0	0	32.25	21.5	32.63	61.23	28.55	27.91	191.65
YPT6	0	0	0	0	0	0	0	0	0	0	0	0	0
MBIP	41.66	2.04	11.8	6.72	2.62	5.61	16.01	6.05	8.41	13.55	51.51	10.41	54.33
MRPL48	28.88	23.24	11.09	14.79	32.71	3.34	1.61	34.25	21.58	9.72	0	26.74	50.51
CHCHD8	188.5	391.48	232.51	180.2	39.7	134.42	40.26	134.91	48.55	345.67	0	463.97	588.41
PAAF1	71.06	53.29	20.99	11.26	3.18	27.48	0	29.16	27.28	12.34	0	65.54	136.23
Plxna4	1.15	1.72	0.2	0.29	0	0	0	0	0	0.16	0.49	0.13	3.65
GUCA1A	1301.51	0	0.89	0	0	0	0	0	0	0	0	2.34	4.7
L345_11436	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA2	0	0	0	0	0	0	0	0	0	18.15	0	0	2.02
L345_11437	0	0	0	0	0	0	0	0	0	0	0	0	0
DUS3L	15.12	13.97	17.38	8.4	4.35	7.78	0	13.67	7.53	19.98	0	15.6	18.14
dus3l	53.4	313.53	70.91	42.63	11.07	41.09	20.89	125.86	33.88	48.19	0	120.92	161.67
BRMS1L	32.81	0	2.75	6.33	8.12	0	6.94	7.07	19.31	11.79	64.39	3.63	6.32
MLLT1	2.36	0	0	0	0	0	0	0	0	0	0	0	0
MLLT1	0.74	0	0	0	0	0	0	0	0	0	0	0	0
MLLT1	3.94	2.24	4.35	11.12	0	5.2	3.25	9.42	0	4.06	0	1.92	0
ACSBG2	3.93	16.22	3.19	6.34	5.76	9.92	7.43	7.37	6.66	80.9	0	3.51	1194.5
PXR1	0	0	0	0	0	0	0	0	0	0	0	0	0
Solh	17	2.65	0.68	3.02	0	1.22	0	1.56	0.83	15.24	4.45	2.26	216.51
L345_11447	1.94	9.36	0	0	0	0	0	0	0	0	0	0	60.33
Olr287	0	0	0	0	0	0	0	0	0	0	0	0	0
COL3A1	34.39	42.42	130.07	32.75	8.36	36.99	0.86	1.12	1.31	35.02	253.49	16.12	9.16
Nefm	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGAPA1	24.57	6.26	7.43	16.71	11.13	10.6	12.71	7.49	13.13	14.92	9.02	2.63	5.01
Lrrc6	6.93	10.84	2.72	3.6	4.63	2.03	4.95	1.1	0.55	17.73	40.36	2.05	209.81
PLSCR1	0	0	0	0	0	0	0	0	0	0	0	0.46	428.39
PHF20L1	24.72	5.66	12.85	54.96	19.77	33.96	66.64	33.51	43.1	29.38	20.43	11.9	31.42
L345_11454	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF10	1.1	0	0	0	0	0	0	0	0	0	0	0	0
Megf11	1.04	0	0	0	0	0	0	0	0	0	0	0	0
FOXP2	2.93	3.6	1.35	1.82	0	0	4.55	0	3.07	10.77	30.86	1.28	1.64
L345_11459	18.15	0	0	10.64	0	11.88	0	1.62	6.28	0	0	0	2.86
L345_11458	16.49	10.3	3.7	0.67	0	4.69	12.62	9.64	21.22	7.66	26.83	1.96	97.23
SGPP2	0.25	1.03	5.29	3.39	4.63	6.09	0	1.88	0	6.58	0	0.44	0.7
Insm2	1.35	0	0	0	0	0	0	0	0	0	0	0	0
Farsb	85.14	74.01	50.16	23.2	39.82	28.38	112.45	71.72	75.38	84.3	30.28	15.2	45.98
H3v1	2.81	0	0	9.16	0	21.22	29.73	4.66	0	130.52	341.12	0	0
CBFA2T2	18.25	43.71	6.66	8.69	6.09	8	4.49	8.31	13.63	6.31	0	7.96	54.58
PAPSS1	138.76	44.13	28.98	18.74	16.16	15.41	9.42	22.97	32.58	17.88	40.35	40.83	26.17
CORIN	9.76	0.95	0	0	0	0	0	0	0	0	0	8.91	2.6
SRD5A3	62.94	183.86	189.1	68.01	45.72	80.48	52.79	124.73	61.33	24.07	0	25.01	6.69
TMEM165	17.37	21.38	16.2	7.15	5.27	6.07	15.83	9.48	7.66	14.82	44.03	8.42	10.41
CLOCK	6.53	0.78	2.18	6.96	0.68	1.34	4.84	1.81	9.47	14.81	0	0.89	0.36
PDCL2	0	0	0	0	0	0	0	0	0	0	0	3.38	791.95
FBF1	18.64	1.72	17.77	15.23	10.82	10.03	0	13.92	24.74	20.02	0	5.14	57.75
NFKBIA	51.45	780.79	70.88	121.83	52.76	99.03	118.85	106.3	137.2	125.42	192.05	75.33	11.1
FBF1	14.2	4.57	2.98	4.6	0	0	0	3.51	0	34.04	0	7.88	37.7
ACOX1	126.8	30.33	62.34	177.55	91.82	104.98	64.83	30.49	49.52	56.34	52.1	5.21	7.05
TEN1	48.38	26.27	5.66	5.79	21.46	0	19.53	14.89	9.88	29.75	0	41.69	13.71
CDK3	3.23	5.22	1.35	1.22	0	0	0	0	0	18.06	43.14	2.67	13.59
EVPL	3.2	25.44	104.71	404.04	421.27	526.64	321.15	278.67	359.19	164.34	490.19	1.35	0.62
Agap2	0	0	1.25	200.86	228.28	238.17	0	0	0	0	0	1.65	0
USP7	92.53	33.99	82.13	215.78	220.06	174.32	322.5	127.67	185.42	159.25	272.18	80.15	433.53
MRPS27	108.44	35.36	48.28	31.46	41.65	28.44	179.31	128.32	200.13	36.51	0	36.5	43.68
MRPS27	105.21	237.32	64.67	36.05	71.32	49.19	198.04	132.04	119.4	42.75	6.41	74.85	200
MAP1B	19.27	34.54	1.35	3.2	3.62	0.74	5.08	0.54	4.11	8.93	9.61	5.1	0.48
PSMA6	401.54	1158.06	622.35	519.67	663.85	541.93	825.46	783.29	475.26	522.81	610.93	457.56	221.83
SAMD7	2.49	0.14	0.06	0.06	0.13	0	0	0.01	0	0.06	0	0	0.22
LRRC31	1.96	1.43	0	0	0	0	0	0	0	2.48	0	0	0
Lrriq4	0	0.8	0	0	0	0	0	0	0	0	0	0	406.79
CCDC70	0.17	10.85	2.19	0	0	0	0	0	0	0	0	3.47	4114.25
GRIN2A	5.6	0.49	0.47	1.49	0.32	3.8	0	0.79	0.91	2.94	0	1.04	2.35
Rad51c	22.77	31.29	50.93	12.82	20.78	16.23	32.69	58.91	53.92	29.05	49.42	26.69	190.26
L345_11487	2	2.1	0	0	0	0	0	0	0	6.06	43.39	0.9	0
SLC8A1	2.89	9.38	0	1.7	0	0.8	0	0	0	9.65	0	77.74	0.21
BICC1	2.3	0	0	1.97	0	0	0	0	0	3.23	0	0	0
RPESP	3.96	0	0	3.49	0	0	0	0	0	0	0	1.03	1.65
L345_01154	38.97	69.29	43.95	10.48	18.51	8.6	31.4	25.7	19.93	19.63	83.9	16.23	92.7
KCNB1	4.89	0.27	0	0	0	0	0	0	0	0.27	0	0	0.19
ADCY2	34.35	0	0	0.36	1.57	0	0	0	0.56	0	6.54	0	1.85
L345_11493	19.1	4.78	9.25	7.62	0	2.93	33.71	14.25	16.82	20.5	27.89	5.1	14.72
L345_11494	2.81	3.42	0	0	0	0	0	0	0	0	0	0	0
L345_11495	0.41	0	0	0	0	0	0	0	0	0	0	0	0
RAB28	232.06	201.53	39.08	27.76	41.65	118.93	14.16	47.94	13.71	51.72	80.21	109.49	249.97
KCND3	3.07	0	0	0.58	0	1.63	0	0	0	0	0	0	0
DDX20	51.09	86.36	33.26	20.49	16.05	26	71.81	42.07	56.38	24.93	14.83	25.72	107.6
L345_11498	26.63	2.37	22.57	11	16.73	15.04	88.85	95.64	89.45	1.17	7.24	0	4.88
RAP1A	8.22	6	2.91	4.65	9.32	4.06	10.83	5.08	5.78	11.66	6.4	10.28	5.94
DPH5	45.03	31.31	37.44	14.62	6.92	10.7	23.61	37.13	32.97	50.73	49.35	37.73	6.31
PPP2R3C	81.9	24.16	19.61	6.39	0	5.75	2.41	6.41	13.33	8.11	20.79	21.41	122.38
RBFOX3	18.74	2.14	0.35	0	0	0	0	0	0	6.86	0	0	0.73
L345_11502	37.7	21.75	0	0	0	0	0	0	0	0	0	0	0
ENGASE	5.71	8.73	2.75	7.61	3.99	7.7	6.06	5.05	1.17	1.61	21.84	10.16	1.71
L345_11504	7.95	3.97	38.81	4.09	0	5.71	0	20.26	0	13.45	0	23.96	19.11
PHLDA2	5.7	84.69	0.84	0.79	0	1	0	0.67	0	29.41	14.56	5.28	0.99
Nap1l4	181.37	22.11	58.5	43.28	56.53	55.61	156.35	54.3	86.18	109.7	154.87	66.95	1017.27
CARS	71.91	55.16	38.9	157.15	99.02	102.72	47.1	38.89	47.51	87.4	47.05	27.97	50.1
L345_11509	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_11508	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP8B1	0.09	0	0.73	6.62	1.97	5.49	0	0	0	0	0	0	1.81
L345_01151	87.85	32.41	25.15	58.05	29.07	22.03	93.47	39.31	55.62	34.84	59.71	12.48	244.25
CYP8B1	6.06	32.21	23.88	179.87	94	169.99	15.68	49.98	29.82	66.91	0	0.64	0
OBSCN	0.84	0	0	0	18.02	4.01	1.36	0.06	0.12	0	0	2.14	0.81
OBSCN	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSCN	0.4	0.84	0	0	15.85	2.1	0	0	0	0	0	0	0.57
L345_11511	0	0	0	0	0	0	0	0	0	0	0	0	0
Obscn	2.6	0.63	0	0.26	118.84	15.44	26.1	0.29	3.94	2.11	0	12.73	21.18
L345_11517	11.38	0	0	0	0	0	0	0	0	0	0	0	0
IRAK4	34.7	26.57	26.42	26.91	32.53	30.52	50.36	30.75	29.18	23.49	22.95	14.7	1.28
TWF1	35.2	14.18	9.52	14.83	9.08	7.98	41.79	4.84	10.79	34.81	158.51	10.58	5.66
TMEM117	3.74	0	0	0	0	0	0	0	0	0	0	0	0
SRP54	31.05	23.17	10.21	32.12	17.8	21.19	23.39	23.6	20.28	45.54	75.75	14.69	75.36
Vmo1	4.08	0.85	0	2.5	0	0	0	1.14	0	4.1	0	1.44	0
oxnad1	6.07	0.76	2.45	8.54	9.61	8.89	0	4.8	17.83	13.3	36.56	3.24	99.72
Rftn1	2.47	0.56	0.36	0.33	0	0	0	1.02	0	1.65	0	0	2.29
TRIM7	0.55	0	0.76	0	13.05	3.85	0	0	0	0	0	20.11	0.81
Trim39	0	0	1.53	0	0	0	0	0	0	0	0	12.15	0
TRIM15	11.76	3.33	3.3	3.98	2.49	5.34	9.08	9.53	9.34	5.16	1.62	2.69	2.34
TRIM27	12.29	1.42	2.51	0.64	0	4.25	0	0.33	0	23.25	0	3.02	0.49
L345_11524	27.88	29.27	25.6	0	0	5.8	0	0	0	0	0	0	0
WBSCR27	47.84	198.81	167.11	10.15	6.49	6.45	6.93	42.92	26.28	65.07	0	50.67	269.89
CLDN4	3.9	7.7	1.42	2.56	0	0	0	0	0	10.53	0	0	0
prmC	81.4	130.28	40.02	19.99	7.79	20.55	46.01	50.12	21.11	15.53	11.12	24.39	137.1
CLDN4	1.34	5.54	145.92	583.8	290.91	403.23	78.12	128.02	104.91	343.91	23.77	0	0
CLDN3	6.59	37.88	11.51	9.09	8.27	8.24	0	32.14	43.36	414.98	758.95	2.85	0
abhd11	15.59	9.55	4.62	8.48	0	11.97	7.73	6.82	21.54	17.8	0	9.51	4.36
PRKCD	16.24	1.45	5.29	29.91	16.84	20.53	26.47	9.29	11.11	40.56	5.94	1.65	0
RAB3IP	97.03	104.5	20.82	22.94	18.58	24.42	47.84	29.23	33.41	33.58	76.86	16.65	10.29
Best3	0.13	0	0	0	6.3	0.23	2.26	0	0	0	0	1.14	0.18
ctse-b	0.85	0	0.37	0	0	0	0	0	0	0	0	7.87	0
LRRC10	0	0	0.5	0	0	0	0	0	0	0	0	171.66	0
CCT2	229.74	330.92	176.59	61.28	108.44	111.58	508.78	297.35	280.87	99.63	315.53	261.65	674.29
FRS2	5.72	1.82	4.93	12.78	28	13.41	11	4.03	16.22	19.92	6.78	1.24	2.25
BAZ1A	6.5	0	0	14.41	0	4.77	15.9	1.29	17.94	9.75	0	0	2.03
CPSF6	57.32	68.57	45.25	45.14	41.43	55.21	86.42	74.59	103.16	40.16	135.02	39.06	53.16
ABCC3	7.3	52.4	18.99	26.07	21.69	25	40.86	35.15	26.77	47.19	101.63	15.78	5.31
Ankrd40	18.88	10.74	15.3	21.99	26.12	38.74	15.85	13.66	5.17	8.34	0	11.08	370.33
LUC7L3	204.48	55.02	33.24	83.38	87.64	89.63	329.48	160.12	231.67	93.27	344.55	58.7	32.15
ANKRD40	3.1	2.12	0.46	6.72	0	2.37	0	0	0	0	0	0	461.79
SMPD4	17.98	50.54	21.64	13.36	2.78	10.62	32.02	92.09	67.51	29.64	59.75	21.76	22.75
CCDC74B	29.28	72.74	4.38	0.96	0	5.39	0	0.73	0	11.03	224.29	8.69	1153.38
MED15	42	86.69	20.4	79.41	63.52	87.19	185.53	169.08	163.43	73.99	140.76	25.87	24.73
DEPDC5	15.4	49.48	9.8	17.46	3.43	16.94	8.85	21.95	6.57	37.31	5.66	23.36	41.94
MMP9	0	0	0	0.64	0	8.08	0	0	0	194.72	0	0	0.75
Baz1a	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr508	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A1	1.03	1.48	0	4.24	0	4.77	0	0.65	0	0	76.29	0	0
COL5A1	0	0	0	0	0	0	0	0	0	0	0	0	0
DOT1L	3.83	1.72	3.24	19.98	6.18	7.45	20.37	3.43	16.06	11.72	8.14	1.04	4.2
PLEKHJ1	45.45	31.44	17.46	17.37	0	31.34	29.32	39.71	50.22	138.74	85.53	3.85	16.94
