gene0	NDEL1
gene3059	SUSD1
gene3060	L345_03064
gene3061	FKBP5
gene3062	TULP1
gene3063	TEAD3
gene3064	TBCK
gene3065	egfl6
gene3066	GSTCD
gene3067	Ints12
gene3068	Arhgef38
gene3069	Ppa2
gene3070	TET2
gene3071	L345_03070
gene3072	ARHGEF37
gene3073	PPARGC1B
gene3074	CACNA1G
gene3075	R3HDM2
gene3076	R3HDM2
gene3077	R3HDM2
gene3078	L345_03080
gene3079	Inhbe
gene3080	L345_03081
gene3081	IL1RAPL2
gene3082	Ndfip1
gene3083	GNPDA1
gene3084	RNF14
gene3085	HSPA4
gene3086	Zcchc10
gene3087	AFF4
gene3088	GDF9
gene3089	L345_03090
gene3090	Kcnb2
gene3091	Trpa1
gene3092	MSC
gene3093	EYA1
gene3094	XKR9
gene3095	lactb2
gene3096	TRAM1
gene3097	ncoa2
gene3098	L345_03099
gene3099	Man1a1
gene3100	L345_03101
gene3101	MCM9
gene3102	ASF1A
gene3103	Plekhm3
gene3104	fzd5
gene3105	ccnyl1-b
gene3106	L345_03107
gene3107	METTL21A
gene3108	CREB1
gene3109	L345_03110
gene3110	ZC3H13
gene3111	jag1b
gene3112	L345_03113
gene3113	MKKS
gene3114	SNAP25
gene3115	PERK9
gene3116	RGMB
gene3117	CHD1
gene3118	kif15-a
gene3119	ZNF148
gene3120	L345_03127
gene3121	slc12a8
gene3122	ARMC9
gene3123	HEG1
gene3124	Muc13
gene3125	ITGB5
gene3126	Kalrn
gene3127	rho
gene3128	Prpf38b
gene3129	L345_03129
gene3130	L345_03131
gene3131	L345_03132
gene3132	CREBBP
gene3133	SLX4
gene3134	L345_03155
gene3135	TRAP1
gene3136	ITFG3
gene3137	RGS11
gene3138	Ehmt1
gene3139	PDIA2
gene3140	Axin1
gene3141	MRPL28
gene3142	TMEM8A
gene3143	cygb1
gene3144	L345_03149
gene3145	Nprl3
gene3146	MPG
gene3147	RHBDF1
gene3148	GTF3C1
gene3149	L345_03139
gene3150	ADCY9
gene3151	SRL
gene3152	TFAP4
gene3153	GLIS2
gene3154	L345_03142
gene3155	Coro7
gene3156	VASN
gene3157	L345_03158
gene3158	TLE4
gene3159	TLE4
gene3160	ANKFN1
gene3161	NOG
gene3162	L345_03167
gene3163	MGLL
gene3164	Abtb1
gene3165	L345_03163
gene3166	PODXL2
gene3167	Mcm2
gene3168	TPRA1
gene3169	Chchd6
gene3170	Dusp7
gene3171	APC
gene3172	SRP19
gene3173	REEP5
gene3174	IFNGR1
gene3175	IL20RA
gene3176	SLC35D3
gene3177	Pex7
gene3178	MAP3K5
gene3179	Fbxw7
gene3180	L345_03184
gene3181	ARFIP1
gene3182	Fhdc1
gene3183	TRIM2
gene3184	L345_03182
gene3185	SNCAIP
gene3186	Mau2
gene3187	Sugp1
gene3188	Tm6sf2
gene3189	HAPLN1
gene3190	plcA
gene3191	HTATIP2
gene3192	GLT25D1
gene3193	PGLS
gene3194	SLC27A1
gene3195	nxnl1
gene3196	fdhD
gene3197	L345_03207
gene3198	Gmip
gene3199	LPAR2
gene3200	PBX3
gene3201	Dsn1
gene3202	DSN1
gene3203	FAM125A
gene3204	ATP13A1
gene3205	CHCHD5
gene3206	LMX1A
gene3207	AER61
gene3208	TMF1
gene3209	ARL6IP5
gene3210	LMOD3
gene3211	FRMD4B
gene3212	FRMD4B
gene3213	L345_03212
gene3214	L345_03216
gene3215	MB21D2
gene3216	Pcsk1n
gene3217	Lhfpl5
gene3218	Hdac6
gene3219	GATA1
gene3220	cdk20
gene3221	FAM19A1
gene3222	TIMM17B
gene3223	PQBP1
gene3224	Slc35a2
gene3225	PIM3
gene3226	Otud5
gene3227	KCND1
gene3228	LASP1
gene3229	IRF3
gene3230	SCAF1
gene3231	RRAS2
gene3232	PRR12
gene3233	qser1
gene3234	Prrg2
gene3235	nosip
gene3236	RCN1
gene3237	PAX6
gene3238	L345_03248
gene3239	ADM5
gene3240	Cpt1a
gene3241	Tsks
gene3242	Tsks
gene3243	AP2A2
gene3244	fuz
gene3245	MED25
gene3246	lhb
gene3247	L345_03255
gene3248	ntf4
gene3249	Kcna3
gene3250	L345_03247
gene3251	snrnp70
gene3252	LIN7B
gene3253	PPFIA3
gene3254	Trpm4
gene3255	L345_03256
gene3256	L345_03259
gene3257	NUP50
gene3258	L345_03264
gene3259	Gidrp88
gene3260	LOXL4
gene3261	PYROXD2
gene3262	HPS1
gene3263	HPSE2
gene3264	L345_03271
gene3265	L345_03273
gene3266	Hdac10
gene3267	TUBGCP6
gene3268	TUBGCP6
gene3269	SELO
gene3270	Trabd
gene3271	TSPAN7
gene3272	Panx2
gene3273	Panx2
gene3274	Mov10l1
gene3275	MLC1
gene3276	Ttll8
gene3277	IL17REL
gene3278	EFNB2
gene3279	CACNB4
gene3280	L345_03286
gene3281	L345_03283
gene3282	NMI
gene3283	TNFAIP6
gene3284	RIF1
gene3285	NEB
gene3286	CLASP1
gene3287	TFCP2L1
gene3288	Gli2
gene3289	GLI2
gene3290	INHBB
gene3291	RALB
gene3292	L345_03292
gene3293	PTPN4
gene3294	tmem177
gene3295	MRAS
gene3296	Rrbp1
gene3297	STAC2
gene3298	TFCP2
gene3299	FBXL20
gene3300	med1
gene3301	CDK12
gene3302	ZMYND10
gene3303	Nprl2
gene3304	CYB561D2
gene3305	TMEM115
gene3306	CACNA2D2
gene3307	UBA1
gene3308	L345_03308
gene3309	AMT
gene3310	NICN1
gene3311	gmppb-a
gene3312	Rnf123
gene3313	Amigo3
gene3314	NLRP12
gene3315	BRK1
gene3316	CYIA
gene3317	Hoxc12
gene3318	hoxc13a
gene3319	gro
gene3320	Tox2
gene3321	SNTA1
gene3322	NFIC
gene3323	NFIC
gene3324	FAM108A
gene3325	SIK2
gene3326	COPZ1
gene3327	Nfe2
gene3328	HNRNPA1
gene3329	Cbx5
gene3330	Tbc1d15
gene3331	smug1
gene3332	Kcnn2
gene3333	TRIM36
gene3334	PGGT1B
gene3335	CCDC112
gene3336	L345_03337
gene3337	L345_03338
gene3338	WASF3
gene3339	USP12
gene3340	L345_03343
gene3341	zgc
gene3342	LNX2
gene3343	CHIC1
gene3344	L345_03342
gene3345	Cdx4
gene3346	L345_03347
gene3347	Mar-04
gene3348	L345_03351
gene3349	Xrcc5
gene3350	Tmem169
gene3351	MAP3K2
gene3352	ERCC3
gene3353	CYP27C1
gene3354	Bin1
gene3355	GYPC
gene3356	DCLK2
gene3357	LRBA
gene3358	Lrba
gene3359	RPS3A
gene3360	SH3D19
gene3361	L345_03368
gene3362	L345_03363
gene3363	ENO4
gene3364	ENO4
gene3365	Hspa12a
gene3366	L345_03364
gene3367	Pnliprp1
gene3368	TBL1XR1
gene3369	IGSF9B
gene3370	L345_03370
gene3371	L345_03372
gene3372	NFIA
gene3373	TM2D1
gene3374	INADL
gene3375	KANK4
gene3376	ESD
gene3377	NHLRC3
gene3378	lhfp
gene3379	COG6
gene3380	Foxo1
gene3381	MRPS31
gene3382	SLC25A15
gene3383	TPTE2
gene3384	FGL1
gene3385	THSD1
gene3386	VPS36
gene3387	Ckap2
gene3388	CKAP2
gene3389	NEK3
gene3390	NEK5
gene3391	ALG11
gene3392	SNX20
gene3393	PROS1
gene3394	ARL13B
gene3395	STX19
gene3396	TAF11
gene3397	UHRF1BP1
gene3398	L345_03402
gene3399	HNRNPC
gene3400	GPR4
gene3401	Rpgrip1
gene3402	L345_03410
gene3403	SUPT16H
gene3404	chd8
gene3405	RAB2
gene3406	L345_03400
gene3407	TOX4
gene3408	Mettl3
gene3409	Sall2
gene3410	Elac2
gene3411	Fn3krp
gene3412	RAB40B
gene3413	WDR45L
gene3414	Foxk2
gene3415	L345_03415
gene3416	AKAP8
gene3417	BRD4
gene3418	ephx3
gene3419	FMN2
gene3420	NOTCH3
gene3421	L345_03423
gene3422	L345_03422
gene3423	Sema3g
gene3424	ACY1
gene3425	abhd14a
gene3426	Abhd14b
gene3427	PCBP4
gene3428	L345_03427
gene3429	PARP3
gene3430	Tmcc2
gene3431	AMOTL1
gene3432	Srst
gene3433	dotA
gene3434	L345_03435
gene3435	L345_03438
gene3436	L345_03439
gene3437	LARP7
gene3438	Ank2
gene3439	Camk2d
gene3440	MCOLN1
gene3441	L345_03441
gene3442	PXR1
gene3443	FBXW11
gene3444	L345_03449
gene3445	L345_03448
gene3446	ETF1
gene3447	ETF1
gene3448	L345_03451
gene3449	HSPA9
gene3450	L345_03444
gene3451	CYP27A1
gene3452	Racgap1
gene3453	RACGAP1
gene3454	Ttll4
gene3455	Zfand2b
gene3456	L345_03453
gene3457	ATG9A
gene3458	ANKZF1
gene3459	Glb1l
gene3460	STK16
gene3461	tuba
gene3462	TUBA1A
gene3463	L345_03461
gene3464	Dnajb6
gene3465	PTPRN
gene3466	DNPEP
gene3467	L345_03468
gene3468	Camkv
gene3469	Rhoa
gene3470	ZC3H13
gene3471	Gpx1
gene3472	USP4
gene3473	L345_03470
gene3474	TMEM111
gene3475	FANCD2
gene3476	CPLX1
gene3477	Cplx1
gene3478	L345_03479
gene3479	B3GAT2
gene3480	SMAP1
gene3481	L345_03481
gene3482	L345_03482
gene3483	HSF2
gene3484	SERINC1
gene3485	L345_03486
gene3486	FABP7
gene3487	L345_03489
gene3488	CLVS2
gene3489	RICTOR
gene3490	FYB
gene3491	C6
gene3492	L345_03493
gene3493	Hivep2
gene3494	GPR126
gene3495	VTA1
gene3496	NMBR
gene3497	SLC35B3
gene3498	EEF1E1
gene3499	MUTED
gene3500	Txndc5
gene3501	Bmp6
gene3502	Naa10
gene3503	NUDT16
gene3504	ARHGAP4
gene3505	Cav3
gene3506	CAV2
gene3507	AVPR2
gene3508	L1CAM
gene3509	PDZD4
gene3510	Ssr4
gene3511	FLNA
gene3512	Haus7
gene3513	GRM4
gene3514	Grm4
gene3515	RBL1
gene3516	CHD6
gene3517	RALGAPB
gene3518	hdac9
gene3519	HDAC9
gene3520	Hdac5
gene3521	TWIST1
gene3522	NFATC1
gene3523	CTDP1
gene3524	PARD6B
gene3525	BCAS4
gene3526	ADNP
gene3527	DPM1
gene3528	Mocs3
gene3529	Kcng1
gene3530	mboat7
gene3531	mboat7
gene3532	TMC7
gene3533	Cnot3
gene3534	PRPF31
gene3535	Ndufa3
gene3536	TFPT
gene3537	IGSF1
gene3538	L345_03536
gene3539	FAM83E
gene3540	GRHL1
gene3541	TAF1B
gene3542	L345_03550
gene3543	L345_03544
gene3544	L345_03545
gene3545	YWHAQ
gene3546	ADAM17
gene3547	IAH1
gene3548	ASAP2
gene3549	ITGB1BP1
gene3550	SLC16A7
gene3551	SLC16A1
gene3552	KBTBD8
gene3553	FAM19A2
gene3554	OLFML3
gene3555	Ppm1j
gene3556	RHOC
gene3557	MOV10
gene3558	Capza1
gene3559	WDPCP
gene3560	MDH1
gene3561	Ugp2
gene3562	VPS54
gene3563	PELI1
gene3564	L345_03565
gene3565	PHF3
gene3566	PTP4A2
gene3567	KHDRBS1
gene3568	tmem39b
gene3569	TOM1L1
gene3570	Cox11
gene3571	Stxbp4
gene3572	HLF
gene3573	HLF
gene3574	RFT1
gene3575	LRP8
gene3576	MAGOHB
gene3577	CPT2
gene3578	F13B
gene3579	ASPM
gene3580	Zbtb41
gene3581	L345_03580
gene3582	L345_03583
gene3583	TTC7A
gene3584	LGALSL
gene3585	CENPA
gene3586	Kndc1
gene3587	Kndc1
gene3588	CIR1
gene3589	SCRN3
gene3590	GJA1
gene3591	L345_03595
gene3592	bromi
gene3593	Gars
gene3594	GARS
gene3595	PRR16
gene3596	MCPH1
gene3597	ANGPT2
gene3598	CCNG2
gene3599	CCNI
gene3600	L345_03604
gene3601	Srst
gene3602	Sep-11
gene3603	Sep-11
gene3604	MDN1
gene3605	Casp8ap2
gene3606	GJA10
gene3607	BACH2
gene3608	Map3k7
gene3609	NR3C1
gene3610	ARHGAP26
gene3611	VAV3
gene3612	L345_03615
gene3613	PXR1
gene3614	NTNG1
gene3615	L345_03618
gene3616	L345_03617
gene3617	L345_03616
gene3618	COL11A1
gene3619	L345_03620
gene3620	BCHE
gene3621	Rpp21
gene3622	Ppp1r18
gene3623	DHX16
gene3624	L345_03629
gene3625	ATAT1
gene3626	MRPS18B
gene3627	PPP1R10
gene3628	ABCF1
gene3629	GNL1
gene3630	NRM
gene3631	2C
gene3632	GRK5
gene3633	PRDX3
gene3634	Sfxn4
gene3635	FAM45A
gene3636	eif3a
gene3637	NANOS1
gene3638	Grid2
gene3639	GRID2
gene3640	MATN1
gene3641	PAX3
gene3642	pax3-b
gene3643	L345_03646
gene3644	L345_03645
gene3645	Slc4a3
gene3646	L345_03647
gene3647	MTUS2
gene3648	L345_03651
gene3649	MTUS2
gene3650	SLC7A1
gene3651	CPLX2
gene3652	Thoc3
gene3653	L345_03654
gene3654	L345_03659
gene3655	ARL10
gene3656	Nop16
gene3657	NOP16
gene3658	Higd2a
gene3659	Cltb
gene3660	FAF2
gene3661	RNF38
gene3662	Slc4a10
gene3663	DPP4
gene3664	GCG
gene3665	FAP
gene3666	Ifih1
gene3667	Gca
gene3668	RNGTT
gene3669	L345_03671
gene3670	PNRC1
gene3671	SRSF12
gene3672	pm20d2
gene3673	ARMC1
gene3674	L345_03686
gene3675	MTFR1
gene3676	PDE7A
gene3677	TRIM55
gene3678	Rrs1
gene3679	Adhfe1
gene3680	mybl1
gene3681	Vcpip1
gene3682	SGK3
gene3683	L345_03676
gene3684	TCF24
gene3685	Ppp1r42
gene3686	L345_03687
gene3687	PFKP
gene3688	PITRM1
gene3689	L345_03693
gene3690	EDRF1
gene3691	UROS
gene3692	Bccip
gene3693	FADS1
gene3694	L345_03698
gene3695	MRF
gene3696	L345_03695
gene3697	DAGLA
gene3698	L345_03699
gene3699	CLP1
gene3700	CLP1
gene3701	EYA2
gene3702	ZMYND8
gene3703	TRAM1
gene3704	ncoa3
gene3705	SULF1
gene3706	Plxna1
gene3707	PLXNA1
gene3708	PLXNA1
gene3709	L345_03712
gene3710	L345_03710
gene3711	NEK3
gene3712	CHRM2
gene3713	Tjap1
gene3714	L345_03723
gene3715	Yipf3
gene3716	Polr1c
gene3717	XPO5
gene3718	POLH
gene3719	Gtpbp2
gene3720	MAD2L1BP
gene3721	Ephx1
gene3722	RSPH9
gene3723	RSPH9
gene3724	MRPS18A
gene3725	NSL1
gene3726	L345_03733
gene3727	TATDN3
gene3728	FLVCR1
gene3729	VASH2
gene3730	ANGEL2
gene3731	Kti12
gene3732	Rps6kc1
gene3733	Rpl22l1
gene3734	EIF5A2
gene3735	L345_03738
gene3736	L345_03740
gene3737	L345_03739
gene3738	SLC2A2
gene3739	Tnik
gene3740	Slc5a1
gene3741	RTDR1
gene3742	GNAZ
gene3743	RAB36
gene3744	Bcr
gene3745	L345_03750
gene3746	SPECC1L
gene3747	L345_03749
gene3748	ADORA2A
gene3749	UPB1
gene3750	L345_03751
gene3751	L345_03752
gene3752	GGT1
gene3753	Ggt5
gene3754	L345_03758
gene3755	PRRC2C
gene3756	ADAMTS17
gene3757	ADAMTS17
gene3758	lysmd4
gene3759	MEF2A
gene3760	LRRC28
gene3761	Robo1
gene3762	Robo1
gene3763	CALM
gene3764	L345_03762
gene3765	PSMC1
gene3766	KCNK13
gene3767	TDP1
gene3768	LONRF2
gene3769	CHST10
gene3770	HIST1H2AC
gene3771	EXPH5
gene3772	DDX10
gene3773	DDX10
gene3774	KIF6
gene3775	KCNK17
gene3776	L345_03777
gene3777	L345_03778
gene3778	TRPC3
gene3779	BBS7
gene3780	Exosc9
gene3781	ANXA5
gene3782	L345_03783
gene3783	L345_03784
gene3784	GPR125
gene3785	L345_03788
gene3786	CYLC2
gene3787	AGO2
gene3788	L345_03793
gene3789	L345_03786
gene3790	Kcnip4
gene3791	PACRGL
gene3792	SLIT2
gene3793	Slit2
gene3794	dotA
gene3795	NTRK3
gene3796	EIF5A
gene3797	GRID2
gene3798	Ift74
gene3799	LRRC19
gene3800	PLAA
gene3801	L345_03798
gene3802	LEPR
gene3803	LEPROT
gene3804	DNAJC6
gene3805	AK4
gene3806	CCDC85B
gene3807	JAK1
gene3808	RAVER2
gene3809	CACHD1
gene3810	L345_03811
gene3811	HEMK1
gene3812	CISH
gene3813	MAPKAPK3
gene3814	DOCK3
gene3815	MANF
gene3816	Rbm15b
gene3817	VPRBP
gene3818	RAD54L2
gene3819	SEMA3D
gene3820	L345_03818
gene3821	CNGB1
gene3822	ACVR1C
gene3823	L345_03827
gene3824	CYTIP
gene3825	Ermn
gene3826	Galnt5
gene3827	CCDC57
gene3828	FASN
gene3829	DUS1L
gene3830	Gps1
gene3831	RFNG
gene3832	DCXR
gene3833	RAC3
gene3834	LRRC45
gene3835	STRA13
gene3836	Aspscr1
gene3837	infB
gene3838	NOTUM
gene3839	MYADML2
gene3840	PYCR2
gene3841	MAFG
gene3842	SIRT7
gene3843	PCYT2
gene3844	NPB
gene3845	Anapc11
gene3846	THOC4
gene3847	P4HB
gene3848	Ppp1r27
gene3849	L345_03838
gene3850	Gcgr
gene3851	SLC25A10
gene3852	Mrpl12
gene3853	HGS
gene3854	ARL16
gene3855	TMC6
gene3856	SYNGR2
gene3857	TK1
gene3858	afmid
gene3859	SMG7
gene3860	NCF2
gene3861	ARPC5
gene3862	APOBEC4
gene3863	RGL1
gene3864	Vps13b
gene3865	Vps13b
gene3866	OSR2
gene3867	stk3
gene3868	Kcns2
gene3869	L345_03878
gene3870	NIPAL2
gene3871	THBS4
gene3872	RAD54L
gene3873	LRRC41
gene3874	NSUN4
gene3875	L345_03871
gene3876	NOP9
gene3877	Dmbx1
gene3878	PLXNA2
gene3879	PLXNA2
gene3880	CLDN10
gene3881	Dzip1
gene3882	CLDN10
gene3883	DNAJC3
gene3884	UGGT1
gene3885	MBNL2
gene3886	RAP2A
gene3887	RFX4
gene3888	Polr3b
gene3889	TCP11L2
gene3890	CKAP4
gene3891	NUAK1
gene3892	L345_03893
gene3893	RGS17
gene3894	MTRF1L
gene3895	FBXO5
gene3896	VIP
gene3897	myct1
gene3898	SYNE1
gene3899	SYNE1
gene3900	SYNE1
gene3901	SYNE1
gene3902	Aldh16a1
gene3903	pih1d1
gene3904	slc17a7
gene3905	RPL13A
gene3906	dhdh
gene3907	Tub
gene3908	Nucb1
gene3909	PPP1R15A
gene3910	B3GALT5
gene3911	Igsf5
gene3912	PCP4
gene3913	DSCAM
gene3914	L345_03915
gene3915	L345_03916
gene3916	Avil
gene3917	CTDSP2
gene3918	SLC11A2
gene3919	letmd1
gene3920	CSRNP2
gene3921	TFCP2
gene3922	OMA1
gene3923	TACSTD2
gene3924	MYSM1
gene3925	ANK1
gene3926	JUN
gene3927	H3v1
gene3928	PRSS12
gene3929	METTL14
gene3930	SEC24D
gene3931	SYNPO2
gene3932	MYOZ2
gene3933	USP53
gene3934	Fabp2
gene3935	nfxl1
gene3936	L345_03941
gene3937	NIPAL1
gene3938	TEC
gene3939	ZC3H13
gene3940	SLAIN2
gene3941	Slc10a4
gene3942	ZAR1
gene3943	FRYL
gene3944	EXT2
gene3945	ACCS
gene3946	TY3B-G
gene3947	L345_03950
gene3948	ALKBH3
gene3949	HSD17B12
gene3950	ZBTB8A
gene3951	TMEM161B
gene3952	L345_03955
gene3953	CCNH
gene3954	Rasa1
gene3955	GLB1
gene3956	GAN
gene3957	PKD1L2
gene3958	PKD1L2
gene3959	AEBP2
gene3960	PLEKHA5
gene3961	TMCC1
gene3962	Tmcc1
gene3963	Msra
gene3964	CDH13
gene3965	PAF1
gene3966	L345_03966
gene3967	Srst
gene3968	PTGER4
gene3969	TTC33
gene3970	L345_03971
gene3971	L345_03972
gene3972	L345_03973
gene3973	KRT19
gene3974	L345_03978
gene3975	L345_03979
gene3976	SMARCE1
gene3977	CCR7
gene3978	TNS4
gene3979	PRICKLE2
gene3980	ADAMTS9
gene3981	PHF14
gene3982	THSD7B
gene3983	GBE1
gene3984	Lgmn
gene3985	Rin3
gene3986	ODZ1
gene3987	L345_03988
gene3988	ODZ1
gene3989	TFAP2C
gene3990	L345_03989
gene3991	L345_03992
gene3992	HSD11B1
gene3993	Traf3ip3
gene3994	IRF6
gene3995	GUCA1B
gene3996	GUCA1A
gene3997	L345_03996
gene3998	Wdr77
gene3999	L345_03997
gene4000	XPO6
gene4001	NME4
gene4002	DECR2
gene4003	L345_04001
gene4004	L345_04002
gene4005	L345_04008
gene4006	L345_04009
gene4007	GPR25
gene4008	L345_04007
gene4009	KIF21B
gene4010	Cacna1s
gene4011	CRISPLD1
gene4012	L345_04013
gene4013	WNK4
gene4014	RUNX1
gene4015	Tspan14
gene4016	Nt5c1b
gene4017	RDH14
gene4018	Wdr35
gene4019	L345_04020
gene4020	Atl2
gene4021	EIF4A3
gene4022	Ninl
gene4023	GINS1
gene4024	Abhd12
gene4025	PYGB
gene4026	ENTPD6
gene4027	VSX1
gene4028	Acss1
gene4029	APMAP
gene4030	EPCAM
gene4031	Ncf1
gene4032	GTF2I
gene4033	BID
gene4034	BCL2L13
gene4035	ATP6V1E1
gene4036	SLC25A18
gene4037	CECR2
gene4038	cecr1
gene4039	CECR5
gene4040	IL17RA
gene4041	Cacna1d
gene4042	Rbm25
gene4043	TSHZ3
gene4044	CDH18
gene4045	Srst
gene4046	SMARCA1
gene4047	SYTL2
gene4048	RAB39B
gene4049	VBP1
gene4050	GAB3
gene4051	L345_04052
gene4052	VSIG1
gene4053	PSMD10
gene4054	ATG4A
gene4055	COL4A6
gene4056	col-34
gene4057	L345_04053
gene4058	FAM19A4
gene4059	zgc
gene4060	PREX2
gene4061	CPA6
gene4062	ARFGEF1
gene4063	SLIT1
gene4064	BLNK
gene4065	Znf518a
gene4066	Ccnj
gene4067	Cc2d2a
gene4068	LSS
gene4069	FTCD
gene4070	COL6A2
gene4071	PCBP3
gene4072	MLPH
gene4073	GIPC2
gene4074	DNAJB4
gene4075	Fubp1
gene4076	NEXN
gene4077	FAM73A
gene4078	USP33
gene4079	ZZZ3
gene4080	Ak5
gene4081	Ak5
gene4082	Ak5
gene4083	PIGK
gene4084	L345_04087
gene4085	NR3C2
gene4086	NR3C2
gene4087	Arhgap10
gene4088	L345_04089
gene4089	L345_04090
gene4090	Agpat1
gene4091	FTSJ3
gene4092	PSMC5
gene4093	SMARCD2
gene4094	ZNF135
gene4095	CRHR1
gene4096	B4GALT3
gene4097	ctu1
gene4098	RLF
gene4099	ZMPSTE24
gene4100	KDM1A
gene4101	LUZP1
gene4102	HTR1D
gene4103	HNRNPR
gene4104	GALNT14
gene4105	Capn13
gene4106	L345_04111
gene4107	LCLAT1
gene4108	LBH
gene4109	YPEL5
gene4110	ANKRD9
gene4111	grip2
gene4112	SLC6A6
gene4113	MEF2C
gene4114	Apoh
gene4115	CEP112
gene4116	HERC2
gene4117	NIPA2
gene4118	CYFIP1
gene4119	TUBGCP5
gene4120	CHST7
gene4121	Slc9a7
gene4122	RP2
gene4123	PHF16
gene4124	L345_04125
gene4125	Tle4
gene4126	CD180
gene4127	MAST4
gene4128	TRHR
gene4129	Jph2
gene4130	L345_04140
gene4131	L345_04130
gene4132	GDAP1L1
gene4133	Fitm2
gene4134	R3hdml
gene4135	HNF4A
gene4136	TTPAL
gene4137	SERINC3
gene4138	PKIG
gene4139	ada
gene4140	L345_04141
gene4141	TOPORS
gene4142	L345_04144
gene4143	L345_04143
gene4144	CFTR
gene4145	CTTNBP2
gene4146	L345_04148
gene4147	L345_04147
gene4148	L345_04149
gene4149	L345_04150
gene4150	Lhx4
gene4151	QSOX1
gene4152	QSOX1
gene4153	CEP350
gene4154	L345_04155
gene4155	L345_04156
gene4156	osta
gene4157	FTSJ1
gene4158	gpkow
gene4159	WDR45
gene4160	PRAF2
gene4161	CCDC120
gene4162	GRIPAP1
gene4163	Kcnd1
gene4164	TCF7
gene4165	SKP1
gene4166	PPP2CA
gene4167	CDKL3
gene4168	UBE2B
gene4169	CDKN2AIPNL
gene4170	PHF15
gene4171	phf17
gene4172	SAR1B
gene4173	SEC24A
gene4174	CAMLG
gene4175	Abtb2
gene4176	Nat10
gene4177	LMO2
gene4178	FBXO3
gene4179	CD59
gene4180	L345_04181
gene4181	L345_04182
gene4182	L345_04183
gene4183	PPAP2B
gene4184	PRKAA2
gene4185	L345_04187
gene4186	C8A
gene4187	L345_04188
gene4188	Parp2
gene4189	Tep1
gene4190	TEP1
gene4191	KLHL33
gene4192	Rbm25
gene4193	slc12a3
gene4194	OSGEP
gene4195	apex1
gene4196	Tmem55b
gene4197	PNP
gene4198	GRB10
gene4199	L345_04199
gene4200	Cobl
gene4201	COBL
gene4202	L345_04203
gene4203	STK4
gene4204	Tomm34
gene4205	epabp-a
gene4206	YWHAB
gene4207	RIMS4
gene4208	kcnk9
gene4209	L345_04210
gene4210	KAL1
gene4211	PNPLA4
gene4212	L345_04213
gene4213	L345_04214
gene4214	PDS5B
gene4215	Kl
gene4216	STARD13
gene4217	Rfc3
gene4218	FAM46A
gene4219	SLC9A1
gene4220	L345_04219
gene4221	L345_04220
gene4222	SLC9A1
gene4223	WDTC1
gene4224	TMEM222
gene4225	TPBG
gene4226	SYTL1
gene4227	OCLN
gene4228	GTF2H2
gene4229	NAIP
gene4230	SMN1
gene4231	SERF1
gene4232	BDP1
gene4233	BDP1
gene4234	BDP1
gene4235	Mccc2
gene4236	CARTPT
gene4237	CDH11
gene4238	NR2C1
gene4239	NDUFA12
gene4240	TMCC3
gene4241	CCDC41
gene4242	PLXNC1
gene4243	ARMC2
gene4244	SESN1
gene4245	CEP57L1
gene4246	L345_04247
gene4247	Cd164
gene4248	PPIL6
gene4249	ZBTB24
gene4250	AKD1
gene4251	FIG4
gene4252	L345_04253
gene4253	SPRY1
gene4254	L345_04262
gene4255	SPATA5
gene4256	SPATA5
gene4257	NUDT6
gene4258	FGF2
gene4259	FGF2
gene4260	CETN1
gene4261	BBS12
gene4262	Nfib
gene4263	Tex14
gene4264	APG
gene4265	L345_04270
gene4266	L345_04267
gene4267	VARS2
gene4268	GTF2H4
gene4269	Klrk1
gene4270	L345_04272
gene4271	MAP3K4
gene4272	AGPAT4
gene4273	STAT3
gene4274	STAT5B
gene4275	PLCL2
gene4276	HCRT
gene4277	Kcnh4
gene4278	RAB5C
gene4279	L345_04280
gene4280	RPS19BP1
gene4281	ATF4
gene4282	SMCR7L
gene4283	LYRM4
gene4284	MGAT3
gene4285	TAL1
gene4286	STIL
gene4287	CMPK1
gene4288	foxe4
gene4289	foxe4
gene4290	foxd2
gene4291	L345_04294
gene4292	PWWP2B
gene4293	Lrrc27
gene4294	L345_04295
gene4295	DOCK2
gene4296	CCDC99
gene4297	PHACTR1
gene4298	Tbc1d7
gene4299	gfod1
gene4300	TMEM14C
gene4301	PAK1IP1
gene4302	L345_04301
gene4303	TRNAU1AP
gene4304	NUP153
gene4305	FAM8A1
gene4306	CAP2
gene4307	L345_04309
gene4308	RBM24
gene4309	L345_04310
gene4310	TRIP12
gene4311	DNER
gene4312	PID1
gene4313	L345_04314
gene4314	Creld1
gene4315	Prrt3
gene4316	CCDC36
gene4317	L345_04316
gene4318	KLHDC8B
gene4319	L345_04323
gene4320	L345_04319
gene4321	L345_04317
gene4322	CCDC71
gene4323	L345_04324
gene4324	SCN2A
gene4325	RPLP0
gene4326	SCN2A
gene4327	HS6ST1
gene4328	spred1
gene4329	L345_04333
gene4330	Fam98b
gene4331	RASGRP1
gene4332	ARHGAP11A
gene4333	SCG5
gene4334	GREM1
gene4335	FMN1
gene4336	RYR3
gene4337	L345_04338
gene4338	Uts2r
gene4339	Uts2r
gene4340	SLC7A14
gene4341	SLC7A14
gene4342	CLDN11
gene4343	SKIL
gene4344	Prkci
gene4345	Phc3
gene4346	Akap4
gene4347	FGF8
gene4348	Fbxw4
gene4349	dpcd
gene4350	POLL
